Didelphis,Marmosa,Caenolestes,Dasyurus,Perameles,Dromiciops,Thylacomyidae,Macropus,Acrobates,Phascolarctos,Vombatus,Phalanger,Pseudocheirus,Petauroides,Erinaceus,Canis,Felis,Rattus,Oryctolagus,Bradypus,Tamandua,Dasypus,Chaetophractus,Euphractus
0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,0,NA,NA,NA,NA,NA
0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA
1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,0,NA,NA,NA,NA,NA
0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,0,NA,NA,NA,NA,NA
0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA
0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA
0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,1,NA,NA,NA,NA,NA
0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
2,2,2,2,2,2,NA,2,3,3,3,3,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,NA,5,5,5,5,5,5,5,2,3,3,NA,NA,NA,NA,NA,NA,NA
